[0.000000] (-) TimerEvent: {}
[0.000815] (trsa_lab1) JobQueued: {'identifier': 'trsa_lab1', 'dependencies': OrderedDict()}
[0.001161] (trsa_lab1) JobStarted: {'identifier': 'trsa_lab1'}
[0.099822] (-) TimerEvent: {}
[0.200129] (-) TimerEvent: {}
[0.300449] (-) TimerEvent: {}
[0.400803] (-) TimerEvent: {}
[0.485040] (trsa_lab1) Command: {'cmd': ['/usr/bin/python3', '-W', 'ignore:setup.py install is deprecated', '-W', 'ignore:easy_install command is deprecated', 'setup.py', 'develop', '--editable', '--build-directory', '/home/davidter/ros2_ws/build/trsa_lab1/build', '--no-deps', 'symlink_data', '--force'], 'cwd': '/home/davidter/ros2_ws/build/trsa_lab1', 'env': {'LESSOPEN': '| /usr/bin/lesspipe %s', 'USER': 'davidter', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib', 'HOME': '/home/davidter', 'OLDPWD': '/home/davidter/ros2_ws', 'ROS_PYTHON_VERSION': '3', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'WSL_DISTRO_NAME': 'Ubuntu-22.04', 'WAYLAND_DISPLAY': 'wayland-0', 'COLCON_PREFIX_PATH': '/home/davidter/ros2_ws/install', 'ROS_DISTRO': 'humble', 'LOGNAME': 'davidter', 'NAME': 'Asus-A15', 'WSL_INTEROP': '/run/WSL/4251_interop', 'PULSE_SERVER': 'unix:/mnt/wslg/PulseServer', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'TERM': 'xterm-256color', 'ROS_LOCALHOST_ONLY': '0', 'PATH': '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/Program Files (x86)/VMware/VMware Workstation/bin/:/mnt/c/Program Files/Common Files/Oracle/Java/javapath:/mnt/c/Program Files (x86)/Common Files/Oracle/Java/java8path:/mnt/c/Program Files (x86)/Common Files/Oracle/Java/javapath:/mnt/c/Program Files/Microsoft/jdk-11.0.16.101-hotspot/bin:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files (x86)/NVIDIA Corporation/PhysX/Common:/mnt/c/Program Files/NVIDIA Corporation/NVIDIA NvDLISR:/mnt/c/Program Files (x86)/Windows Kits/10/Windows Performance Toolkit/:/mnt/c/Program Files/mosquitto:/mnt/c/Program Files/dotnet/:/mnt/c/JupyterLab:/mnt/c/ProgramData/anaconda3/condabin:/mnt/c/ProgramData/anaconda3:/mnt/c/ProgramData/anaconda3/Scripts:/mnt/c/ProgramData/anaconda3/Library/bin:/mnt/c/Program Files/nodejs/:/mnt/c/Program Files/PuTTY/:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/Docker/Docker/resources/bin:/mnt/c/Users/David Ter/Desktop/ISCF_Lab3/bin:/mnt/c/str/labwork2/labwork2/src:/mnt/c/Users/David Ter/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/program files/mosquito:/mnt/c/Users/David Ter/.dotnet/tools:/mnt/c/Users/David Ter/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/David Ter/AppData/Roaming/npm:/mnt/c/Program Files/Git/bin/:/mnt/c/Program Files/Git/cmd/:/snap/bin', 'XDG_RUNTIME_DIR': '/run/user/1000/', 'DISPLAY': ':0', 'LANG': 'en_US.UTF-8', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:', 'AMENT_PREFIX_PATH': '/home/davidter/ros2_ws/install/trsa_lab1:/opt/ros/humble', 'SHELL': '/bin/bash', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'PWD': '/home/davidter/ros2_ws/build/trsa_lab1', 'XDG_DATA_DIRS': '/usr/local/share:/usr/share:/var/lib/snapd/desktop', 'PYTHONPATH': '/home/davidter/ros2_ws/build/trsa_lab1/prefix_override:/usr/lib/python3/dist-packages/colcon_core/task/python/colcon_distutils_commands:/home/davidter/ros2_ws/install/trsa_lab1/lib/python3.10/site-packages:/home/davidter/ros2_ws/install/trsa_lab1/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages', 'COLCON': '1', 'WSL2_GUI_APPS_ENABLED': '1', 'HOSTTYPE': 'x86_64', 'WSLENV': ''}, 'shell': False}
[0.500927] (-) TimerEvent: {}
[0.601260] (-) TimerEvent: {}
[0.666169] (trsa_lab1) StdoutLine: {'line': b'running develop\n'}
[0.701424] (-) TimerEvent: {}
[0.773418] (trsa_lab1) StdoutLine: {'line': b'running egg_info\n'}
[0.773703] (trsa_lab1) StdoutLine: {'line': b'writing trsa_lab1.egg-info/PKG-INFO\n'}
[0.773879] (trsa_lab1) StdoutLine: {'line': b'writing dependency_links to trsa_lab1.egg-info/dependency_links.txt\n'}
[0.774067] (trsa_lab1) StdoutLine: {'line': b'writing entry points to trsa_lab1.egg-info/entry_points.txt\n'}
[0.774262] (trsa_lab1) StdoutLine: {'line': b'writing requirements to trsa_lab1.egg-info/requires.txt\n'}
[0.774353] (trsa_lab1) StdoutLine: {'line': b'writing top-level names to trsa_lab1.egg-info/top_level.txt\n'}
[0.776767] (trsa_lab1) StdoutLine: {'line': b"reading manifest file 'trsa_lab1.egg-info/SOURCES.txt'\n"}
[0.778703] (trsa_lab1) StdoutLine: {'line': b"writing manifest file 'trsa_lab1.egg-info/SOURCES.txt'\n"}
[0.779555] (trsa_lab1) StdoutLine: {'line': b'running build_ext\n'}
[0.779749] (trsa_lab1) StdoutLine: {'line': b'Creating /home/davidter/ros2_ws/install/trsa_lab1/lib/python3.10/site-packages/trsa-lab1.egg-link (link to .)\n'}
[0.780357] (trsa_lab1) StdoutLine: {'line': b'Installing camera_calibration_pub script to /home/davidter/ros2_ws/install/trsa_lab1/lib/trsa_lab1\n'}
[0.780522] (trsa_lab1) StdoutLine: {'line': b'Installing camera_driver script to /home/davidter/ros2_ws/install/trsa_lab1/lib/trsa_lab1\n'}
[0.780762] (trsa_lab1) StdoutLine: {'line': b'\n'}
[0.780901] (trsa_lab1) StdoutLine: {'line': b'Installed /home/davidter/ros2_ws/build/trsa_lab1\n'}
[0.781110] (trsa_lab1) StdoutLine: {'line': b'running symlink_data\n'}
[0.781202] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/resource/trsa_lab1 -> /home/davidter/ros2_ws/install/trsa_lab1/share/ament_index/resource_index/packages\n'}
[0.781284] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/package.xml -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1\n'}
[0.785128] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/video/test.mov -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/video\n'}
[0.785251] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/9.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.785638] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/57.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.785860] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/27.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.786058] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/40.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.786326] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/79.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.786542] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/111.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.786730] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/34.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.786945] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/105.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.787206] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/117.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.787416] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/99.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.787637] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/68.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.787897] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/83.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.788115] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/84.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.788363] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/18.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.788613] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/26.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.788841] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/8.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.789062] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/28.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.789278] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/109.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.789521] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/35.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.789781] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/24.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.790007] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/55.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.790252] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/98.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
[0.790485] (trsa_lab1) StdoutLine: {'line': b'symbolically linking /home/davidter/ros2_ws/build/trsa_lab1/calibration/images/119.jpeg -> /home/davidter/ros2_ws/install/trsa_lab1/share/trsa_lab1/calibration/images\n'}
